0	1.830091
1	2.034263
2	2.316176
3	2.166632
4	1.855225
5	2.145905
6	1.973120
7	1.884947
8	2.020048
9	2.041495
10	2.067311
11	2.143296
12	1.961095
13	1.817495
14	1.907877
15	1.979889
16	2.039797
17	2.178221
18	2.137291
19	1.959059
20	1.955670
21	1.989574
22	2.253622
23	2.023735
24	1.901340
25	1.934268
26	1.812994
27	2.039615
28	1.863181
29	2.003062
30	1.995327
31	1.938972
32	1.857264
33	1.893705
34	1.792184
35	1.921188
36	1.798637
37	1.908379
38	1.882374
39	1.949653
40	1.752415
41	2.054696
42	1.977179
43	1.962840
44	1.988775
45	2.005676
46	2.009827
47	1.888941
48	1.757993
49	2.202834
50	1.902863
51	2.049011
52	2.066817
53	1.979741
54	1.974436
55	2.118003
56	1.868979
57	2.042024
58	2.173269
59	2.147019
60	1.840687
61	2.025271
62	1.874215
63	2.225183
64	2.241613
65	1.904694
66	2.039082
67	2.054958
68	2.189049
69	1.846694
70	1.916282
71	1.862956
72	1.997426
73	1.887716
74	1.858731
75	1.875184
76	1.785163
77	2.147635
78	1.934513
79	2.064741
80	1.953751
81	2.106559
82	2.115819
83	2.022334
84	1.922109
85	1.907791
86	2.039300
87	2.099869
88	1.917639
89	2.089328
90	2.512110
91	2.065823
92	2.074090
93	1.898204
94	2.100846
95	1.916456
96	2.045794
97	2.228978
98	1.966611
99	1.865982
100	2.166172
101	1.958816
102	1.942966
103	2.103466
104	1.954149
105	1.970028
106	1.905581
107	2.177560
108	1.971612
109	1.975832
110	2.006671
111	2.238906
112	1.901826
113	2.187243
114	2.124241
115	1.920833
116	2.015535
117	1.926922
118	2.275854
119	1.836653
120	1.876105
121	1.939530
122	1.972791
123	2.005074
124	1.830325
125	1.916133
126	2.004716
127	1.884961
128	2.129172
129	1.973104
130	2.140109
131	2.011128
132	1.868187
133	1.933465
134	2.039220
135	1.865704
136	2.165873
137	2.066785
138	2.066505
139	2.087686
140	2.150124
141	1.983353
142	1.952509
143	1.933353
144	2.178739
145	2.077847
146	1.877212
147	1.902506
148	1.965007
149	1.979652
150	2.387068
151	2.029850
152	1.919760
153	1.974939
154	2.148210
155	1.869505
156	1.850404
157	1.957430
158	2.017817
159	2.041091
160	1.962351
161	1.981622
162	2.071276
163	2.009044
164	2.028309
165	1.877709
166	1.799681
167	1.938116
168	1.862728
169	2.055649
170	2.076514
171	2.226692
172	1.956627
173	1.845393
174	2.011660
175	1.920305
176	1.919739
177	1.974743
178	1.975304
179	1.838718
180	1.964991
181	1.973947
182	2.079983
183	1.978617
184	2.126852
185	2.057793
186	1.805452
187	2.015625
188	1.999199
189	2.113995
190	1.884796
191	1.934146
192	1.900044
193	1.937647
194	1.853632
195	2.085906
196	2.007811
197	2.307328
198	2.126839
199	2.183264
